flight_number,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,LaunchSiteName,Outcome,Flights,GridFins,Reused,Legs,class
1,2006-03-24 22:30:00+00:00,FalconSat,20.0,LEO,5e9e4502f5090995de566f86,Kwajalein Atoll (Marshall Islands),False,1.0,False,False,False,0
2,2007-03-21 01:10:00+00:00,DemoSat,7842.388855421687,LEO,5e9e4502f5090995de566f86,Kwajalein Atoll (Marshall Islands),False,1.0,False,False,False,0
3,2008-08-03 03:34:00+00:00,Trailblazer,7842.388855421687,LEO,5e9e4502f5090995de566f86,Kwajalein Atoll (Marshall Islands),False,1.0,False,False,False,0
4,2008-09-28 23:15:00+00:00,RatSat,165.0,LEO,5e9e4502f5090995de566f86,Kwajalein Atoll (Marshall Islands),False,1.0,False,False,False,0
5,2009-07-13 03:35:00+00:00,RazakSat,200.0,LEO,5e9e4502f5090995de566f86,Kwajalein Atoll (Marshall Islands),False,1.0,False,False,False,0
6,2010-06-04 18:45:00+00:00,Falcon 9 Test Flight,7842.388855421687,LEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,False,False,False,0
7,2010-12-08 15:43:00+00:00,COTS 1,7842.388855421687,LEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,False,False,False,0
8,2012-05-22 07:44:00+00:00,COTS 2,525.0,LEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,False,False,False,0
9,2012-10-08 00:35:00+00:00,CRS-1,400.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,False,False,False,0
10,2013-03-01 19:10:00+00:00,CRS-2,677.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,False,False,False,0
11,2013-09-29 16:00:00+00:00,CASSIOPE,500.0,PO,5e9e4502f509092b78566f87,VAFB SLC 4E (California),False,1.0,False,False,False,0
12,2013-12-03 22:41:00+00:00,SES-8,3170.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,False,False,False,0
13,2014-01-06 18:06:00+00:00,Thaicom 6,3325.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,False,False,False,0
14,2014-04-18 19:25:00+00:00,CRS-3,2296.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,False,False,True,1
15,2014-07-14 15:15:00+00:00,OG-2 Mission 1,1316.0,LEO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),True,1.0,False,False,True,1
16,2014-08-05 08:00:00+00:00,AsiaSat 8,4535.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,False,False,False,0
17,2014-09-07 05:00:00+00:00,AsiaSat 6,4428.0,GTO,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,False,False,False,0
18,2014-09-21 05:52:00+00:00,CRS-4,2216.0,ISS,5e9e4501f509094ba4566f84,CCSFS SLC 40 (Florida),False,1.0,False,False,False,0
