flight_number,Date,BoosterVersion,PayloadMass,Outcome,Flights,class,GridFins,Reused,Legs,Orbit_ES-L1,Orbit_GEO,Orbit_GTO,Orbit_HCO,Orbit_HEO,Orbit_ISS,Orbit_LEO,Orbit_MEO,Orbit_PO,Orbit_SO,Orbit_SSO,Orbit_TLI,Orbit_Unknown,Orbit_VLEO,LaunchSiteName_CCSFS SLC 40 (Florida),LaunchSiteName_KSC LC 39A (Florida),LaunchSiteName_Kwajalein Atoll (Marshall Islands),LaunchSiteName_VAFB SLC 4E (California)
158,2022-04-21 15:16:00+00:00,Starlink 4-14 (v1.5),13260.0,True,12.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
159,2022-04-27 07:52:00+00:00,Crew-4,7842.388855421687,True,4.0,1,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
160,2022-04-29 21:27:00+00:00,Starlink 4-16 (v1.5),13260.0,True,6.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
161,2022-05-06 09:42:00+00:00,Starlink 4-17 (v1.5),13260.0,True,12.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
162,2022-05-13 22:07:00+00:00,Starlink 4-13 (v1.5),13260.0,True,5.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
163,2022-05-14 20:40:00+00:00,Starlink 4-15 (v1.5),13260.0,True,1.0,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
164,2022-05-18 10:40:00+00:00,Starlink 4-18 (v1.5),13260.0,True,5.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
165,2022-05-25 18:27:00+00:00,Transporter-5,7842.388855421687,True,8.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
166,2022-06-08 21:04:00+00:00,Nilesat-301,3938.0,True,7.0,1,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
167,2022-06-01 17:08:50+00:00,Starlink 4-19 (v1.5),13260.0,True,13.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
168,2022-06-18 14:19:00+00:00,SARah 1,2200.0,True,3.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
169,2022-06-19 04:27:00+00:00,Globalstar FM15,700.0,True,9.0,1,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
170,2022-06-29 21:04:00+00:00,SES-22,3500.0,True,2.0,1,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
171,2022-07-07 13:11:00+00:00,Starlink 4-21 (v1.5),13260.0,True,13.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
172,2022-07-11 01:39:00+00:00,Starlink 3-1 (v1.5),13260.0,True,6.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
173,2022-07-15 00:44:00+00:00,CRS-25,7842.388855421687,True,5.0,1,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
174,2022-07-17 14:50:00+00:00,Starlink 4-22 (v1.5),13260.0,True,13.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
175,2022-07-21 17:13:00+00:00,Starlink 3-2 (v1.5),13260.0,True,4.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
176,2022-07-24 00:00:00+00:00,Starlink 4-25 (v1.5),13260.0,True,8.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
177,2022-08-04 23:08:00+00:00,KPLO,678.0,True,6.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
178,2022-08-09 22:57:00+00:00,Starlink 4-26 (v1.5),13260.0,True,3.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
179,2022-08-12 21:30:00+00:00,Starlink 3-3 (v1.5),13260.0,True,10.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
180,2022-08-19 19:24:00+00:00,Starlink 4-27 (v1.5),13260.0,True,9.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
181,2022-08-28 02:22:00+00:00,Starlink 4-23 (v1.5),13260.0,True,2.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
182,2022-08-31 05:40:00+00:00,Starlink 3-4 (v1.5),13260.0,True,7.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
183,2022-09-05 02:09:00+00:00,Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,13260.0,True,7.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
184,2022-09-11 01:10:00+00:00,Starlink 4-2 (v1.5) & Blue Walker 3,13260.0,True,14.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
185,2022-09-17 01:05:00+00:00,Starlink 4-34 (v1.5),13260.0,True,6.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
186,2022-09-24 23:30:00+00:00,Starlink 4-35 (v1.5),13260.0,True,4.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
187,2022-10-05 16:00:00+00:00,Crew-5,7842.388855421687,True,1.0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
188,2022-11-01 13:41:00+00:00,USSF-44,3700.0,False,1.0,0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
188,2022-10-20 14:50:00+00:00,Starlink 4-36 (v1.5),13260.0,False,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
188,2022-10-08 23:05:00+00:00,Galaxy 33 (15R) & 34 (12R),7842.388855421687,False,0.0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
188,2022-10-15 05:22:00+00:00,Hotbird 13F,7842.388855421687,False,0.0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
189,2022-11-03 03:24:00+00:00,Hotbird 13G,7842.388855421687,False,0.0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
191,2022-11-08 00:00:00+00:00,Galaxy 31 (23R) & 32 (17R),7842.388855421687,False,0.0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
192,2022-11-15 00:00:00+00:00,Eutelsat 10B,7842.388855421687,False,0.0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
193,2022-11-22 00:00:00+00:00,ispace Mission 1 & Rashid,7842.388855421687,False,0.0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
194,2022-11-18 22:00:00+00:00,CRS-26,7842.388855421687,False,0.0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
195,2022-11-01 00:00:00+00:00,Starlink 4-37 (v1.5),7842.388855421687,False,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
196,2022-11-01 00:00:00+00:00,"O3b mPower 1,2",5100.0,False,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
197,2022-12-05 00:00:00+00:00,SWOT,7842.388855421687,False,0.0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
198,2022-11-01 00:00:00+00:00,SES-18 & SES-19,7842.388855421687,False,0.0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
198,2022-12-01 00:00:00+00:00,Transporter-6,7842.388855421687,False,0.0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
199,2022-12-01 00:00:00+00:00,TTL-1,7842.388855421687,False,0.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
200,2022-12-01 00:00:00+00:00,WorldView Legion 1 & 2,7842.388855421687,False,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
202,2022-12-01 00:00:00+00:00,Viasat-3 & Arcturus,7842.388855421687,False,0.0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
203,2022-12-01 00:00:00+00:00,O3b mPower 3.4,5100.0,False,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
