flight_number,Date,BoosterVersion,PayloadMass,Outcome,Flights,class,GridFins,Reused,Legs,Orbit_ES-L1,Orbit_GEO,Orbit_GTO,Orbit_HCO,Orbit_HEO,Orbit_ISS,Orbit_LEO,Orbit_MEO,Orbit_PO,Orbit_SO,Orbit_SSO,Orbit_TLI,Orbit_Unknown,Orbit_VLEO,LaunchSiteName_CCSFS SLC 40 (Florida),LaunchSiteName_KSC LC 39A (Florida),LaunchSiteName_Kwajalein Atoll (Marshall Islands),LaunchSiteName_VAFB SLC 4E (California)
66,2018-07-25 11:39:26+00:00,Iridium NEXT Mission 7,9600.0,True,1.0,1,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
67,2018-08-07 05:18:00+00:00,Merah Putih,5800.0,True,2.0,1,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
68,2018-09-10 04:45:00+00:00,Telstar 18V,7060.0,True,1.0,1,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
69,2018-10-08 02:22:00+00:00,SAOCOM 1A,2800.0,True,2.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
70,2018-11-15 20:46:00+00:00,Es’hail 2,3000.0,True,2.0,1,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
71,2018-12-03 18:34:00+00:00,SSO-A,4000.0,True,3.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
72,2018-12-05 18:16:00+00:00,CRS-16,2573.0,False,1.0,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
73,2018-12-23 13:51:00+00:00,GPS III SV01,4400.0,False,1.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
74,2019-01-11 15:31:00+00:00,Iridium NEXT Mission 8,9600.0,True,2.0,1,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
75,2019-02-22 01:45:00+00:00,Nusantara Satu (PSN-6) / S5 / Beresheet,5000.0,True,3.0,1,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
76,2019-03-02 07:45:00+00:00,CCtCap Demo Mission 1,12259.0,True,1.0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
77,2019-04-11 22:35:00+00:00,ArabSat 6A,6000.0,True,1.0,1,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
78,2019-05-04 06:48:00+00:00,CRS-17,2482.0,True,1.0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
79,2019-05-24 02:30:00+00:00,Starlink v0.9,13200.0,True,3.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
80,2019-06-12 14:17:00+00:00,RADARSAT Constellation,1425.0,True,2.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
81,2019-06-25 03:30:00+00:00,STP-2,600.0,False,1.0,0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
82,2019-07-25 22:01:00+00:00,CRS-18,2227.7,True,2.0,1,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
83,2019-08-06 22:52:00+00:00,Amos-17,6500.0,False,3.0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
84,2019-11-11 14:56:00+00:00,Starlink-1,15600.0,True,4.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
85,2019-12-05 17:29:23+00:00,CRS-19,5000.0,True,1.0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
86,2019-12-17 00:10:00+00:00,JCSat 18 / Kacific 1,6800.0,True,3.0,1,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
87,2020-01-07 02:19:00+00:00,Starlink-2,15600.0,True,4.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
88,2020-01-19 14:00:00+00:00,Crew Dragon In Flight Abort Test,7842.388855421687,False,4.0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
89,2020-01-29 14:06:00+00:00,Starlink-3,15600.0,True,3.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
90,2020-02-17 15:05:55+00:00,Starlink-4,15600.0,False,4.0,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
91,2020-03-07 04:50:31+00:00,CRS-20,1977.0,True,2.0,1,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
92,2020-03-18 12:16:00+00:00,Starlink-5,15600.0,False,5.0,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
93,2020-04-22 19:30:00+00:00,Starlink-6,15600.0,True,4.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
94,2020-05-30 19:22:00+00:00,CCtCap Demo Mission 2,9525.0,True,1.0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
95,2020-06-04 01:25:00+00:00,Starlink-7,15600.0,True,5.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
96,2020-06-13 09:21:00+00:00,Starlink-8 & SkySat 16-18,15600.0,True,3.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
97,2020-06-30 19:55:00+00:00,GPS III SV03 (Columbus),3880.0,True,1.0,1,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
98,2020-07-20 21:30:00+00:00,ANASIS-II,7842.388855421687,True,2.0,1,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
99,2020-08-07 05:12:00+00:00,Starlink-9 (v1.0) & BlackSky Global 5-6,15600.0,True,5.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
100,2020-08-18 14:31:00+00:00,Starlink-10 (v1.0) & SkySat 19-21,15600.0,True,6.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
101,2020-08-30 23:18:00+00:00,"SAOCOM 1B, GNOMES-1, Tyvak-0172",1600.0,True,4.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
102,2020-09-03 12:46:00+00:00,Starlink-11 (v1.0),15600.0,True,2.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
103,2020-10-06 11:29:00+00:00,Starlink-12 (v1.0),15600.0,True,3.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
104,2020-10-18 12:25:00+00:00,Starlink-13 (v1.0),15600.0,True,6.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
105,2020-10-24 15:31:00+00:00,Starlink-14 (v1.0),15600.0,True,3.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
106,2020-11-05 23:24:00+00:00,GPS III SV04 (Sacagawea),3681.0,True,1.0,1,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
107,2020-11-16 00:27:00+00:00,Crew-1,7842.388855421687,True,1.0,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
108,2020-11-21 17:17:00+00:00,Sentinel-6 Michael Freilich,1440.0,True,1.0,1,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
109,2020-11-25 02:13:00+00:00,Starlink-15 (v1.0),15600.0,True,7.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
110,2020-12-06 16:17:00+00:00,CRS-21,2972.0,True,4.0,1,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
111,2020-12-13 17:30:00+00:00,SXM-7,7000.0,True,7.0,1,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
112,2020-12-19 14:00:00+00:00,NROL-108,7842.388855421687,True,5.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
113,2021-01-08 02:15:00+00:00,Turksat 5A,3500.0,True,4.0,1,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
114,2021-01-20 13:02:00+00:00,Starlink-16 (v1.0),15600.0,True,8.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
115,2021-01-24 15:00:00+00:00,Transporter-1,7842.388855421687,True,5.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
116,2021-02-04 06:19:00+00:00,Starlink-18 (v1.0),15600.0,True,5.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
117,2021-02-16 03:59:00+00:00,Starlink-19 (v1.0),15600.0,False,6.0,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
118,2021-03-04 08:24:00+00:00,Starlink-17 (v1.0),15600.0,True,8.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
119,2021-03-11 08:13:00+00:00,Starlink-20 (v1.0),15600.0,True,6.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
120,2021-03-14 10:01:00+00:00,Starlink-21 (v1.0),15600.0,True,9.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
121,2021-03-24 08:28:00+00:00,Starlink-22 (v1.0),15600.0,True,6.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
122,2021-04-07 16:34:00+00:00,Starlink-23 (v1.0),15600.0,True,7.0,1,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
123,2021-04-23 09:49:00+00:00,Crew-2,7842.388855421687,True,2.0,1,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
